,dataset,prob_labels,n_data,dim_reduction_technique,dimension,metric,k,n_samples,Accuracy,RMSE,KL,MAE,TV
37,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,2,5000,0.8874,0.11483147421061926,,0.027555658424249525,0.135327864540442
38,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,2,5000,0.8872,0.11501614164230214,,0.02770936074179961,0.1363248099440005
39,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,2,5000,0.8872,0.11389954065371859,,0.027521803688621494,0.13546567898390038
40,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,2,10000,0.9033,0.10440225805098938,,0.0250442647336446,0.12320462034621507
41,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,2,10000,0.9065,0.10384655449239902,,0.02521852060159111,0.12388742249920408
42,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,2,10000,0.907,0.10285297131401501,,0.024579360983206434,0.12087669893573323
43,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,2,10000,0.9037,0.10368124650178685,,0.025080283299608062,0.1235918334425241
44,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,2,10000,0.9017,0.10371323165484828,,0.024813573954784333,0.12210909533498364
45,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,2,100000,0.9406,0.0699169035957579,,0.016937405341605333,0.08225398887472227
46,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,2,100000,0.942,0.06953986786021656,,0.01694368048418355,0.0823125940306002
47,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,2,100000,0.9405,0.06963907099560007,,0.016875810089871515,0.08203106514578486
48,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,2,100000,0.9431,0.06948113013796145,,0.016888776910690042,0.08212410012563494
49,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,2,100000,0.9431,0.06939391822093163,,0.01681232248177153,0.08174359332433405
50,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,3,10,0.2871,0.30439977471482804,,0.13892034762830704,0.6816459583104965
51,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,3,10,0.2122,0.2980525856295738,,0.1454962424665754,0.716261268121271
52,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,3,10,0.2721,0.28811362190720946,,0.14174440206097635,0.6917076198413818
53,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,3,10,0.2841,0.28176618106276896,,0.14472693197071607,0.70500821201648
54,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,3,10,0.3824,0.26975673953037715,,0.13829755588887063,0.6738552526287506
55,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,3,25,0.5985,0.2184005964080363,,0.09325390191632885,0.45620195090134186
56,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,3,25,0.5841,0.21113910549963416,,0.07999403830843514,0.394853841499707
57,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,euclidean,3,25,0.685,0.19588268390565017,,0.07670698720301766,0.3767674396673382
