,dataset,n_data,dim_reduction_technique,dimension,prob_labels,alpha,n_samples,k,RMSE,Accuracy,runtime,config
35,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,5000,2,0.28058571262143706,0.18332,0.73553466796875,configs/FGMRES.json
36,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,5000,2,0.28065544487842076,0.1831,0.7386548519134521,configs/FGMRES.json
37,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,5000,2,0.2805028178787856,0.18372,0.7337846755981445,configs/FGMRES.json
38,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,5000,2,0.2806355609594642,0.1827,0.7395973205566406,configs/FGMRES.json
39,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,5000,2,0.28047325971527637,0.1834,0.7455224990844727,configs/FGMRES.json
40,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,10000,2,0.2674141932457263,0.25948,0.8521122932434082,configs/FGMRES.json
41,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,10000,2,0.2676127473071627,0.25846,0.8568816184997559,configs/FGMRES.json
42,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,10000,2,0.26759911708266626,0.25918,0.8626368045806885,configs/FGMRES.json
43,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,10000,2,0.2673540924371201,0.25918,0.861548662185669,configs/FGMRES.json
44,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,10000,2,0.2674426270591651,0.25912,0.8641257286071777,configs/FGMRES.json
45,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,100000,2,0.1149808326099739,0.86376,3.1454520225524902,configs/FGMRES.json
46,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,100000,2,0.11536606607257545,0.86224,3.137936592102051,configs/FGMRES.json
47,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,100000,2,0.11635263750679214,0.85946,3.1267545223236084,configs/FGMRES.json
48,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,100000,2,0.11571499361251558,0.86176,3.155020236968994,configs/FGMRES.json
49,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,100000,2,0.11577207743391774,0.8618,3.130784273147583,configs/FGMRES.json
50,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,10,3,0.29431969826894205,0.1002,0.6155393123626709,configs/FGMRES.json
51,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,10,3,0.2943219759324717,0.10012,0.6112267971038818,configs/FGMRES.json
52,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,10,3,0.29431978895531985,0.1002,0.6122317314147949,configs/FGMRES.json
53,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,10,3,0.29432351513696964,0.10018,0.6140482425689697,configs/FGMRES.json
54,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,10,3,0.2943228490379216,0.10016,0.6186370849609375,configs/FGMRES.json
55,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,25,3,0.29427676965754673,0.10042,0.6168878078460693,configs/FGMRES.json
56,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,25,3,0.2942947036556782,0.10038,0.6157236099243164,configs/FGMRES.json
57,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,25,3,0.294280193492344,0.10046,0.6062624454498291,configs/FGMRES.json
58,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,25,3,0.2942749020554107,0.10048,0.611281156539917,configs/FGMRES.json
59,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,25,3,0.29427466012272474,0.10046,0.6159937381744385,configs/FGMRES.json
60,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,50,3,0.2942096200627044,0.10094,0.6134319305419922,configs/FGMRES.json
61,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,50,3,0.29420450126354664,0.10088,0.6144342422485352,configs/FGMRES.json
62,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,50,3,0.29419875560366837,0.10094,0.6125259399414062,configs/FGMRES.json
63,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,50,3,0.2942107366832014,0.10088,0.6143643856048584,configs/FGMRES.json
64,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,50,3,0.29419962206567113,0.10094,0.6147878170013428,configs/FGMRES.json
65,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,100,3,0.29406724623396874,0.10182,0.6162657737731934,configs/FGMRES.json
66,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,100,3,0.2940894340158252,0.10172,0.618250846862793,configs/FGMRES.json
67,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,100,3,0.2940731997576199,0.1018,0.6194102764129639,configs/FGMRES.json
68,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,100,3,0.29406703075552554,0.10176,0.6164600849151611,configs/FGMRES.json
69,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,100,3,0.29407314736377677,0.10172,0.6174445152282715,configs/FGMRES.json
70,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,250,3,0.29362935671554574,0.10456,0.6229772567749023,configs/FGMRES.json
71,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,250,3,0.2936407335510919,0.10454,0.6320526599884033,configs/FGMRES.json
72,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,250,3,0.29365004850544096,0.10434,0.6280543804168701,configs/FGMRES.json
73,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,250,3,0.293644959999346,0.1044,0.6044213771820068,configs/FGMRES.json
74,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,250,3,0.29366269689330127,0.1043,0.6036601066589355,configs/FGMRES.json
75,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,500,3,0.29295667371981415,0.10876,0.631864070892334,configs/FGMRES.json
76,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,500,3,0.2929589550612704,0.10868,0.6375265121459961,configs/FGMRES.json
77,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,500,3,0.29294691301626413,0.10858,0.6319270133972168,configs/FGMRES.json
78,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.0,500,3,0.29292217136910137,0.10902,0.6313703060150146,configs/FGMRES.json
