,dataset,prob_labels,n_data,dim_reduction_technique,dimension,metric,k,n_samples,Accuracy,RMSE
50,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,5,euclidean,20,500,0.89642,0.116320662803573
51,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,3,euclidean,20,500,0.89802,0.11677397884929978
52,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,2,euclidean,20,500,0.89702,0.11743353430218248
53,CIFAR10,prob_label_effnetb0,50000,CLIP+PCA,512,euclidean,20,500,0.8713,0.1332147533424915
54,CIFAR10,prob_label_effnetb0,50000,CLIP+PCA,100,euclidean,20,500,0.88244,0.12812615134738992
55,CIFAR10,prob_label_effnetb0,50000,CLIP+PCA,50,euclidean,20,500,0.87582,0.1294352286179381
56,CIFAR10,prob_label_effnetb0,50000,CLIP+PCA,40,euclidean,20,500,0.88168,0.12844010873482797
57,CIFAR10,prob_label_effnetb0,50000,CLIP+PCA,30,euclidean,20,500,0.878,0.12816024496701967
58,CIFAR10,prob_label_effnetb0,50000,CLIP+PCA,25,euclidean,20,500,0.88448,0.12946772904462622
59,CIFAR10,prob_label_effnetb0,50000,CLIP+PCA,20,euclidean,20,500,0.8767,0.12924750817658642
60,CIFAR10,prob_label_effnetb0,50000,CLIP+PCA,15,euclidean,20,500,0.8523,0.1371253295614574
61,CIFAR10,prob_label_effnetb0,50000,CLIP+PCA,10,euclidean,20,500,0.79638,0.14887708551837683
62,CIFAR10,prob_label_effnetb0,50000,CLIP+PCA,7,euclidean,20,500,0.80028,0.156279979484223
63,CIFAR10,prob_label_effnetb0,50000,CLIP+PCA,5,euclidean,20,500,0.7246,0.17972962947207832
64,CIFAR10,prob_label_effnetb0,50000,CLIP+PCA,3,euclidean,20,500,0.6225,0.21128635883145735
65,CIFAR10,prob_label_effnetb0,50000,CLIP+PCA,2,euclidean,20,500,0.56238,0.22816969327615216
66,CIFAR10,prob_label_effnetb0,50000,CLIP+ISOMAP,512,euclidean,20,500,0.83794,0.13732102577934743
67,CIFAR10,prob_label_effnetb0,50000,CLIP+ISOMAP,100,euclidean,20,500,0.85116,0.13350102617100443
68,CIFAR10,prob_label_effnetb0,50000,CLIP+ISOMAP,50,euclidean,20,500,0.85708,0.13104875856068943
69,CIFAR10,prob_label_effnetb0,50000,CLIP+ISOMAP,40,euclidean,20,500,0.85146,0.13254331444246895
70,CIFAR10,prob_label_effnetb0,50000,CLIP+ISOMAP,30,euclidean,20,500,0.85642,0.1324616185146022
71,CIFAR10,prob_label_effnetb0,50000,CLIP+ISOMAP,25,euclidean,20,500,0.86454,0.12862096105332546
72,CIFAR10,prob_label_effnetb0,50000,CLIP+ISOMAP,20,euclidean,20,500,0.85954,0.1311646518932008
73,CIFAR10,prob_label_effnetb0,50000,CLIP+ISOMAP,15,euclidean,20,500,0.86496,0.12724011179894873
74,CIFAR10,prob_label_effnetb0,50000,CLIP+ISOMAP,10,euclidean,20,500,0.86664,0.1272039953375915
75,CIFAR10,prob_label_effnetb0,50000,CLIP+ISOMAP,7,euclidean,20,500,0.84628,0.1354066093813854
76,CIFAR10,prob_label_effnetb0,50000,CLIP+ISOMAP,5,euclidean,20,500,0.83172,0.13851997819259243
77,CIFAR10,prob_label_effnetb0,50000,CLIP+ISOMAP,3,euclidean,20,500,0.77458,0.1669117241762655
78,CIFAR10,prob_label_effnetb0,50000,CLIP+ISOMAP,2,euclidean,20,500,0.6686,0.20321824472214134
