,dataset,prob_labels,n_data,dim_reduction_technique,dimension,gamma,n_samples,Accuracy,RMSE,KL,MAE,TV,sparse
35,TwoMoons,prob_label,10000,NONE,2,0.1,10,0.5002,0.6236072091982283,1.109226138211557,0.4739771574641035,0.4739771574641025,False
36,TwoMoons,prob_label,10000,NONE,2,0.1,10,0.5002,0.480938402914146,0.6464738908878686,0.46515711743531113,0.4651571174353109,False
37,TwoMoons,prob_label,10000,NONE,2,0.1,10,0.5002,0.4681501853293572,0.6215644273826528,0.4541733935771462,0.4541733935771471,False
38,TwoMoons,prob_label,10000,NONE,2,0.1,10,0.8077,0.46886149691655443,0.6259248770832906,0.4678054682825041,0.4678054682825027,False
39,TwoMoons,prob_label,10000,NONE,2,0.1,10,0.735,0.46299642091879456,0.6145733195159053,0.46039614747826074,0.46039614747826246,False
40,TwoMoons,prob_label,10000,NONE,2,0.1,100,0.7835,0.45617993664726897,0.6018945977839796,0.4535452904636739,0.45354529046367315,False
41,TwoMoons,prob_label,10000,NONE,2,0.1,100,0.7985,0.4602957450287159,0.6097393887533623,0.45851086089543097,0.4585108608954323,False
42,TwoMoons,prob_label,10000,NONE,2,0.1,100,0.5895,0.4672662552759808,0.6215390781651864,0.45989881959562173,0.45989881959562245,False
43,TwoMoons,prob_label,10000,NONE,2,0.1,100,0.8001,0.4627854178590476,0.6144433126655576,0.4613057708804139,0.4613057708804153,False
44,TwoMoons,prob_label,10000,NONE,2,0.1,100,0.7416,0.4673452190274369,0.6225000139855134,0.46362173256833994,0.46362173256833983,False
45,TwoMoons,prob_label,10000,NONE,2,0.1,100,0.7966,0.459152853565154,0.6073042568168583,0.45612013236605525,0.45612013236605664,False
46,TwoMoons,prob_label,10000,NONE,2,0.1,100,0.8025,0.46349015849996944,0.6156857761309398,0.46168845247992696,0.4616884524799278,False
47,TwoMoons,prob_label,10000,NONE,2,0.1,100,0.8081,0.465273345019385,0.6190335436890753,0.46352037133098484,0.4635203713309833,False
48,TwoMoons,prob_label,10000,NONE,2,0.1,100,0.8045,0.46034440196391946,0.6098376089068075,0.45860535335008146,0.45860535335008373,False
49,TwoMoons,prob_label,10000,NONE,2,0.1,100,0.7979,0.4600168811563849,0.6089516498093858,0.4571468704950954,0.45714687049509467,False
50,TwoMoons,prob_label,10000,NONE,2,0.1,1000,0.7951,0.4612877210574196,0.6115562316343703,0.45939660445413366,0.45939660445413594,False
51,TwoMoons,prob_label,10000,NONE,2,0.1,1000,0.7968,0.46217562566846526,0.6133032218914206,0.4606776552118041,0.4606776552118041,False
52,TwoMoons,prob_label,10000,NONE,2,0.1,1000,0.7962,0.46150628316571773,0.6119985398490346,0.4597597061148886,0.45975970611488803,False
53,TwoMoons,prob_label,10000,NONE,2,0.1,1000,0.7969,0.4626912949568217,0.6142525023335106,0.46114187237398874,0.46114187237398985,False
54,TwoMoons,prob_label,10000,NONE,2,0.1,1000,0.7972,0.46139993173859994,0.6118491054879696,0.4598591470081583,0.4598591470081591,False
55,TwoMoons,prob_label,10000,NONE,2,0.1,1000,0.7972,0.4600446568247789,0.6093203927083641,0.4584611250318241,0.4584611250318227,False
56,TwoMoons,prob_label,10000,NONE,2,0.1,1000,0.8068,0.46144980405984964,0.6118560115855145,0.4595547998593503,0.45955479985935244,False
57,TwoMoons,prob_label,10000,NONE,2,0.1,1000,0.7978,0.4619073987670025,0.6128155078046839,0.46046033171054035,0.46046033171053996,False
58,TwoMoons,prob_label,10000,NONE,2,0.1,1000,0.7971,0.4626043987865583,0.614112904330316,0.461154166023321,0.46115416602332104,False
59,TwoMoons,prob_label,10000,NONE,2,0.1,1000,0.7939,0.4616474256580339,0.6123141619052005,0.460125182079539,0.46012518207953834,False
60,TwoMoons,prob_label,10000,NONE,2,1.0,10,0.8432,0.32294354131374753,0.3522413214491161,0.27600445603576496,0.27600445603576557,False
61,TwoMoons,prob_label,10000,NONE,2,1.0,10,0.8926,0.30981029751330813,0.3385408185177148,0.2740152520116821,0.2740152520116836,False
62,TwoMoons,prob_label,10000,NONE,2,1.0,10,0.8709,0.3161600065101749,0.3419450792108706,0.269814737228796,0.26981473722879634,False
63,TwoMoons,prob_label,10000,NONE,2,1.0,10,0.8149,0.3465551354801003,0.3719788448855352,0.26875134534756273,0.26875134534756207,False
64,TwoMoons,prob_label,10000,NONE,2,1.0,10,0.8514,0.3576166958376036,0.40095113752465833,0.29238136713472157,0.2923813671347215,False
65,TwoMoons,prob_label,10000,NONE,2,1.0,10,0.9047,0.34223694545915123,0.4017202371798878,0.32588964864875697,0.3258896486487564,False
