,dataset,prob_labels,n_data,dim_reduction_technique,dimension,gamma,n_samples,Accuracy,RMSE
55,CIFAR10,prob_label_effnetb0,50000,CLIP+PCA,50,1,500,0.85568,0.13991226471848986
56,CIFAR10,prob_label_effnetb0,50000,CLIP+PCA,40,1,500,0.85392,0.1376642568683322
57,CIFAR10,prob_label_effnetb0,50000,CLIP+PCA,30,1,500,0.84808,0.13823688537858075
58,CIFAR10,prob_label_effnetb0,50000,CLIP+PCA,25,1,500,0.84514,0.14079948564329428
59,CIFAR10,prob_label_effnetb0,50000,CLIP+PCA,20,1,500,0.85294,0.13453287328483593
60,CIFAR10,prob_label_effnetb0,50000,CLIP+PCA,15,1,500,0.82186,0.14499136999087966
61,CIFAR10,prob_label_effnetb0,50000,CLIP+PCA,10,1,500,0.80486,0.14835892956999758
62,CIFAR10,prob_label_effnetb0,50000,CLIP+PCA,7,1,500,0.79972,0.15148180881178416
63,CIFAR10,prob_label_effnetb0,50000,CLIP+PCA,5,1,500,0.74934,0.17413137750824798
64,CIFAR10,prob_label_effnetb0,50000,CLIP+PCA,3,1,500,0.6079,0.21496597909405368
65,CIFAR10,prob_label_effnetb0,50000,CLIP+PCA,2,1,500,0.57154,0.23178795484956388
66,CIFAR10,prob_label_effnetb0,50000,CLIP+ISOMAP,512,1,500,0.11522,0.29254113598574993
67,CIFAR10,prob_label_effnetb0,50000,CLIP+ISOMAP,100,1,500,0.1437,0.29113487364905066
68,CIFAR10,prob_label_effnetb0,50000,CLIP+ISOMAP,50,1,500,0.19508,0.28992522522750247
69,CIFAR10,prob_label_effnetb0,50000,CLIP+ISOMAP,40,1,500,0.23764,0.2874382671510562
70,CIFAR10,prob_label_effnetb0,50000,CLIP+ISOMAP,30,1,500,0.3051,0.28544607585310533
71,CIFAR10,prob_label_effnetb0,50000,CLIP+ISOMAP,25,1,500,0.38094,0.28407467265025255
72,CIFAR10,prob_label_effnetb0,50000,CLIP+ISOMAP,20,1,500,0.46944,0.2800985705745124
73,CIFAR10,prob_label_effnetb0,50000,CLIP+ISOMAP,15,1,500,0.61964,0.2658375539504464
74,CIFAR10,prob_label_effnetb0,50000,CLIP+ISOMAP,10,1,500,0.74566,0.2391651019148393
75,CIFAR10,prob_label_effnetb0,50000,CLIP+ISOMAP,7,1,500,0.7959,0.20651715133152831
76,CIFAR10,prob_label_effnetb0,50000,CLIP+ISOMAP,5,1,500,0.78904,0.19037484396824142
77,CIFAR10,prob_label_effnetb0,50000,CLIP+ISOMAP,3,1,500,0.75356,0.19156809395211366
78,CIFAR10,prob_label_effnetb0,50000,CLIP+ISOMAP,2,1,500,0.64894,0.21532235011847475
