,dataset,n_data,dim_reduction_technique,dimension,prob_labels,alpha,n_samples,k,RMSE,Accuracy,KL,MAE,TV,runtime,config
70,CIFAR10-H,10000,RESNET+UMAP,20,prob_label,0.9,1000,20,0.11733490561244417,0.8953,0.43510696233199253,0.03351590887330304,0.1607205405556645,3.455237865447998,configs/FGMRES.json
71,CIFAR10-H,10000,RESNET+UMAP,20,prob_label,0.9,1000,20,0.1183307646492151,0.8896,0.4534269135106044,0.03508045182848017,0.16831391910648957,3.3456833362579346,configs/FGMRES.json
72,CIFAR10-H,10000,RESNET+UMAP,20,prob_label,0.9,1000,20,0.11927335758687196,0.891,0.4484103736015706,0.035808564068526096,0.17215063902537778,3.3895668983459473,configs/FGMRES.json
73,CIFAR10-H,10000,RESNET+UMAP,20,prob_label,0.9,1000,20,0.11733579850745399,0.892,0.4435157787671542,0.035829222803185554,0.1717573335263635,3.353743076324463,configs/FGMRES.json
74,CIFAR10-H,10000,RESNET+UMAP,20,prob_label,0.9,1000,20,0.11850848477041058,0.8913,0.4347490626744905,0.036788940474335764,0.17708374874405827,3.375086545944214,configs/FGMRES.json
75,CIFAR10-H,10000,RESNET+UMAP,20,prob_label,0.99,10,20,0.26085030188770364,0.3932,2.386592368582608,0.12044029404658738,0.5901287522925762,0.4738454818725586,configs/FGMRES.json
76,CIFAR10-H,10000,RESNET+UMAP,20,prob_label,0.99,10,20,0.20370364388833012,0.708,1.6050266228588006,0.08362230798364649,0.41186458225188216,0.47522830963134766,configs/FGMRES.json
77,CIFAR10-H,10000,RESNET+UMAP,20,prob_label,0.99,10,20,0.2819364965190462,0.4664,2.8894191724372766,0.10734782669221188,0.5306912818575001,0.4737684726715088,configs/FGMRES.json
78,CIFAR10-H,10000,RESNET+UMAP,20,prob_label,0.99,10,20,0.23001189577423475,0.5576,2.177860283622189,0.08996405808363003,0.44086769828006683,0.4724006652832031,configs/FGMRES.json
79,CIFAR10-H,10000,RESNET+UMAP,20,prob_label,0.99,10,20,0.24342157499343284,0.5161,2.622654080298078,0.1005139331911707,0.49306877884378264,0.4752218723297119,configs/FGMRES.json
80,CIFAR10-H,10000,RESNET+UMAP,20,prob_label,0.99,100,20,0.14068890597144001,0.8601,0.664046251709659,0.051814701987459875,0.25005226345063375,0.7846689224243164,configs/FGMRES.json
81,CIFAR10-H,10000,RESNET+UMAP,20,prob_label,0.99,100,20,0.1302570313700758,0.8784,0.5617228785878697,0.04286404176818567,0.20680703682827162,0.7756285667419434,configs/FGMRES.json
82,CIFAR10-H,10000,RESNET+UMAP,20,prob_label,0.99,100,20,0.13268855576893096,0.8784,0.6043068556324174,0.0469088845495209,0.22716505384201946,0.7943625450134277,configs/FGMRES.json
83,CIFAR10-H,10000,RESNET+UMAP,20,prob_label,0.99,100,20,0.136078622939784,0.8724,0.6351926919905582,0.04507483242511151,0.21845121068501325,0.7812371253967285,configs/FGMRES.json
84,CIFAR10-H,10000,RESNET+UMAP,20,prob_label,0.99,100,20,0.14375459317352846,0.8311,0.6487481279847606,0.04860432419203842,0.23549847448995898,0.7658195495605469,configs/FGMRES.json
85,CIFAR10-H,10000,RESNET+UMAP,20,prob_label,0.99,1000,20,0.12315898746879288,0.8873,0.43021482216373624,0.04430488583913836,0.21375479060832972,3.7970962524414062,configs/FGMRES.json
86,CIFAR10-H,10000,RESNET+UMAP,20,prob_label,0.99,1000,20,0.1208364805051495,0.8936,0.4297463782574274,0.04425976218751913,0.21353377061821452,3.7821362018585205,configs/FGMRES.json
87,CIFAR10-H,10000,RESNET+UMAP,20,prob_label,0.99,1000,20,0.12162529853137852,0.8846,0.41098068571727636,0.04464694941643939,0.21547822782562426,3.813326835632324,configs/FGMRES.json
88,CIFAR10-H,10000,RESNET+UMAP,20,prob_label,0.99,1000,20,0.12140758120780715,0.8859,0.4458034279962012,0.042893201078067204,0.20702193551537298,3.790971040725708,configs/FGMRES.json
89,CIFAR10-H,10000,RESNET+UMAP,20,prob_label,0.99,1000,20,0.1225546081552934,0.8855,0.4196575590641728,0.04525607322336875,0.2193428937766592,3.8329927921295166,configs/FGMRES.json
90,CIFAR10-H,10000,VIT+UMAP,20,prob_label,0.5,10,20,0.2655268109245957,0.5952,1.8380018507259137,0.1528767222885385,0.7541734364377431,0.4453296661376953,configs/FGMRES.json
91,CIFAR10-H,10000,VIT+UMAP,20,prob_label,0.5,10,20,0.26436245577958833,0.5656,1.831800143897047,0.15092723306857142,0.7440604244769762,0.4440498352050781,configs/FGMRES.json
92,CIFAR10-H,10000,VIT+UMAP,20,prob_label,0.5,10,20,0.27354348693388325,0.4387,1.96506600932145,0.1560408845647505,0.770153119044268,0.4456491470336914,configs/FGMRES.json
93,CIFAR10-H,10000,VIT+UMAP,20,prob_label,0.5,10,20,0.2690147380790332,0.4405,1.8952425069232355,0.15298959099066117,0.7551391766015879,0.4410865306854248,configs/FGMRES.json
94,CIFAR10-H,10000,VIT+UMAP,20,prob_label,0.5,10,20,0.2597543228674849,0.7211,1.7483445643558475,0.14766388024111216,0.7279735953699277,0.4431455135345459,configs/FGMRES.json
95,CIFAR10-H,10000,VIT+UMAP,20,prob_label,0.5,100,20,0.17523661589874967,0.8168,0.8649253840626651,0.06395797194234651,0.3125389836804443,0.6499085426330566,configs/FGMRES.json
96,CIFAR10-H,10000,VIT+UMAP,20,prob_label,0.5,100,20,0.15976754392649398,0.8604,0.7423745130656796,0.05712430729527283,0.2787963435719258,0.6497011184692383,configs/FGMRES.json
97,CIFAR10-H,10000,VIT+UMAP,20,prob_label,0.5,100,20,0.16176252747679762,0.8546,0.7866374036258507,0.0574251685690391,0.27968516342845534,0.6549496650695801,configs/FGMRES.json
98,CIFAR10-H,10000,VIT+UMAP,20,prob_label,0.5,100,20,0.17874356488417983,0.8408,0.9395033806789835,0.06904012461191607,0.3378836241114206,0.6572034358978271,configs/FGMRES.json
99,CIFAR10-H,10000,VIT+UMAP,20,prob_label,0.5,100,20,0.17045236542558803,0.8292,0.8328279571871356,0.06332244680081933,0.3081627741457166,0.6588056087493896,configs/FGMRES.json
100,CIFAR10-H,10000,VIT+UMAP,20,prob_label,0.5,1000,20,0.12197308952206062,0.8868,0.5251924055701269,0.03118393430860485,0.15113307074193075,2.734039783477783,configs/FGMRES.json
101,CIFAR10-H,10000,VIT+UMAP,20,prob_label,0.5,1000,20,0.12499045577852697,0.8826,0.5456303956751195,0.030883975313897936,0.1499016853206709,2.7378580570220947,configs/FGMRES.json
102,CIFAR10-H,10000,VIT+UMAP,20,prob_label,0.5,1000,20,0.12168075322326248,0.8858,0.5175413778652362,0.031879528304631095,0.1547430867068349,2.780123233795166,configs/FGMRES.json
103,CIFAR10-H,10000,VIT+UMAP,20,prob_label,0.5,1000,20,0.1250653207590683,0.8803,0.5091821323758514,0.033145821693711455,0.16085327515828704,2.7230050563812256,configs/FGMRES.json
104,CIFAR10-H,10000,VIT+UMAP,20,prob_label,0.5,1000,20,0.12564125966781498,0.8775,0.5389112588972318,0.03284345985203325,0.15930837370072273,2.717797040939331,configs/FGMRES.json
105,CIFAR10-H,10000,VIT+UMAP,20,prob_label,0.9,10,20,0.20372800274473724,0.6136,1.2289053669204757,0.09328592495198249,0.4590560449072598,0.450270414352417,configs/FGMRES.json
