,dataset,prob_labels,n_data,dim_reduction_technique,dimension,gamma,n_samples,Accuracy,RMSE
48,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-06,100000,0.10248,0.2943424405557627
49,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-06,100000,0.10248,0.29434283543765083
50,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,10,0.10042,0.3101445974644127
51,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,10,0.1,0.31523390825760733
52,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,10,0.36706,0.30763981906530785
53,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,10,0.29148,0.3044362357185878
54,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,10,0.1985,0.3008527910310238
55,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,25,0.10042,0.29750572619472687
56,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,25,0.10248,0.30007044544588
57,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,25,0.09952,0.30175648439903346
58,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,25,0.18958,0.3005881411482865
59,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,25,0.10042,0.3043229690749451
60,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,50,0.1,0.2954414319534035
61,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,50,0.10086,0.29766266375344236
62,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,50,0.19072,0.2958725984223627
63,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,50,0.09902,0.29835171430197954
64,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,50,0.09902,0.29652053180217475
65,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,100,0.09552,0.2971273098436929
66,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,100,0.09552,0.29766627878441765
67,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,100,0.19846,0.29488061513873476
68,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,100,0.10248,0.29575250796420816
69,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,100,0.20036,0.29503219693369964
70,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,250,0.10048,0.2945334267278767
71,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,250,0.1,0.2949530861937353
72,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,250,0.1015,0.2949093841285669
73,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,250,0.19072,0.2950040263195629
74,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,250,0.20136,0.29468008482773167
75,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,500,0.10248,0.29455999710743574
76,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,500,0.1,0.2946587760962842
77,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,500,0.1015,0.29451464376116293
78,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,500,0.1,0.29463158676684353
79,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,500,0.1,0.2945614979718783
80,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,1000,0.1015,0.2944705407991356
81,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,1000,0.1002,0.29439750989354074
82,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,1000,0.10248,0.2945195945236109
83,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,1000,0.10248,0.2944207012681276
84,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,1000,0.1002,0.29457568752623564
85,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,5000,0.10042,0.2943326177522297
86,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,5000,0.1002,0.2943568570458597
87,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,5000,0.1002,0.294367558702546
88,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,5000,0.10086,0.2943562319330485
89,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,5000,0.10048,0.29436993000677414
90,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,10000,0.10248,0.2943361218034402
91,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,10000,0.1015,0.29434504640906306
92,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,10000,0.1,0.29434696933729054
93,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,10000,0.10248,0.2943297981309594
94,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,10000,0.10248,0.2943358574261258
95,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,100000,0.10248,0.294324434769032
96,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,100000,0.10248,0.29432341634452985
97,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,100000,0.10086,0.29432618486885637
98,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,100000,0.18348,0.29432336753584376
99,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,1e-05,100000,0.10248,0.29432407653038356
100,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.0001,10,0.09552,0.3141944287818943
101,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.0001,10,0.1002,0.31039625778843455
102,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.0001,10,0.09902,0.3068315204299218
103,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.0001,10,0.29264,0.3041070631301443
104,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.0001,10,0.10248,0.31147263109857487
105,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.0001,25,0.1015,0.29863880583016017
106,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.0001,25,0.18412,0.30041460487006233
107,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.0001,25,0.19348,0.2968267386597315
108,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.0001,25,0.09902,0.3030666110646381
109,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.0001,25,0.10042,0.29883835218943244
110,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.0001,50,0.38552,0.2969981748953504
111,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.0001,50,0.10048,0.2977663185604916
112,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.0001,50,0.2634,0.29596198936672913
113,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.0001,50,0.1,0.29767619715712507
114,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.0001,50,0.09952,0.2966568771102686
115,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.0001,100,0.10048,0.2947856228360622
116,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.0001,100,0.1015,0.2952308488280653
117,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.0001,100,0.19414,0.2961509216792833
118,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.0001,100,0.1015,0.29589582475005527
119,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.0001,100,0.10042,0.29466060461954047
120,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.0001,250,0.20118,0.29517948526816373
121,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.0001,250,0.20118,0.2948622268138648
122,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.0001,250,0.10086,0.2951508429699518
123,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.0001,250,0.10086,0.29495192709204004
124,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.0001,250,0.1,0.2944969936503718
125,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.0001,500,0.09902,0.2942791577884295
126,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.0001,500,0.1002,0.294393073863456
127,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.0001,500,0.10042,0.29475252519265166
128,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.0001,500,0.10248,0.29438994838648713
129,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.0001,500,0.10042,0.2946450371946853
130,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.0001,1000,0.10248,0.29427200570267875
131,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.0001,1000,0.20118,0.2942179018143346
132,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.0001,1000,0.10086,0.294323858627403
133,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,0.0001,1000,0.10042,0.2942701262727281
