,dataset,n_data,dim_reduction_technique,dimension,prob_labels,alpha,n_samples,k,RMSE,Accuracy,runtime,config
36,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,26,0.15037935007031838,0.82878,7.060567140579224,configs/FGMRES.json
37,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,26,0.156791506052169,0.82244,7.073933839797974,configs/FGMRES.json
38,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,26,0.14785776487167296,0.83182,7.090543985366821,configs/FGMRES.json
39,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,26,0.15109315827646672,0.83548,7.115623474121094,configs/FGMRES.json
40,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,31,0.15426122084794955,0.8149,7.34862494468689,configs/FGMRES.json
41,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,31,0.1561118972057351,0.81384,7.281190872192383,configs/FGMRES.json
42,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,31,0.15131411760401922,0.82432,7.316559553146362,configs/FGMRES.json
43,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,31,0.14625152652607493,0.8354,7.299812078475952,configs/FGMRES.json
44,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,31,0.1455510656188655,0.83626,7.347087144851685,configs/FGMRES.json
45,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,41,0.14989896479894438,0.81434,8.161776542663574,configs/FGMRES.json
46,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,41,0.14949131470826518,0.82138,8.159190654754639,configs/FGMRES.json
47,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,41,0.14334136260425553,0.8379,8.191121339797974,configs/FGMRES.json
48,CIFAR10,50000,CLIP+UMAP,20,prob_label_effnetb0,0.5,500,41,0.14890696657918273,0.82258,8.17738938331604,configs/FGMRES.json
