,dataset,prob_labels,n_data,dim_reduction_technique,dimension,gamma,n_samples,Accuracy,RMSE,KL,MAE,TV,sparse
12,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-06,50,0.1004,0.2896127491945525,2.2251756718769915,0.17296346893446737,0.8544059839677646,False
13,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-06,50,0.1015,0.2919836409847337,2.3188094985813703,0.17309958255885288,0.8543613536802143,False
14,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-06,50,0.1954,0.28983044231190275,4.779115777380907,0.17328240563735264,0.8545060212032588,False
15,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-06,100,0.2,0.2876243760578038,2.1625338048941063,0.17302338705797687,0.8543909702325353,False
16,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-06,100,0.1005,0.28847083400186496,2.1896388553125763,0.17296962582813352,0.8544158902245265,False
17,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-06,100,0.1005,0.2879743875320639,2.1738718697612307,0.1731672687049352,0.854470291045249,False
18,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-06,100,0.1001,0.28807411322888377,2.172375356063656,0.17301081583304267,0.8543487772770146,False
19,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-06,100,0.1003,0.2893596932144893,2.242255330226147,0.17312705268791828,0.8543583484055045,False
20,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-06,250,0.0999,0.28767477629941995,2.1621869967884697,0.17297864924318412,0.8544197375930093,False
21,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-06,250,0.1968,0.2879470574987741,2.1719630014873075,0.17288079660631725,0.8544001692196702,False
22,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-06,250,0.0995,0.2876582742657524,2.1629239932679623,0.17306571409480997,0.8544633031888758,False
23,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-06,250,0.0999,0.28795618839473675,2.16891887560738,0.17305585204951285,0.8544540377660446,False
24,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-06,250,0.1001,0.28759741776450026,2.1606047940682087,0.17305563866267754,0.8543945470074447,False
25,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-06,500,0.0999,0.2877427241136451,2.1654828580808814,0.1730627200324679,0.8544650987901196,False
26,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-06,500,0.0995,0.28800807617186913,2.168478378363167,0.1729687776949717,0.8544936928002742,False
27,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-06,500,0.0999,0.2874228419844526,2.1562031566285556,0.17301090404285552,0.854451372163745,False
28,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-06,500,0.1001,0.2873454414600277,2.1529751764420855,0.17295821888413287,0.8544311734882544,False
29,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-06,500,0.0998,0.2872799384531371,2.1509713736501492,0.17299812426625005,0.8544072224098042,False
30,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-06,1000,0.0998,0.2873286130554087,2.152775607730993,0.17296721485986433,0.8544508415765675,False
31,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-06,1000,0.0995,0.28722949858777325,2.149748516870187,0.17293327338660294,0.854434608452204,False
32,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-06,1000,0.1015,0.28729131636321475,2.1514596374445865,0.17293584478219562,0.8543779370312273,False
33,CIFAR10-H,prob_label,10000,CLIP+UMAP,20,1e-06,1000,0.1015,0.2872243460493952,2.1497022190339283,0.17300986703727478,0.8544066251462534,False
