,dataset,n_data,dim_reduction_technique,dimension,prob_labels,alpha,n_samples,k,RMSE,Accuracy,KL,MAE,TV,runtime,config
16,CIFAR10-H,10000,PCA,100,prob_label,0.99,100,20,0.2854140220588805,0.1337,2.115101137846957,0.17028436706718,0.8411314237083525,12.406037330627441,configs/FGMRES.json
17,CIFAR10-H,10000,PCA,50,prob_label,0.99,100,20,0.28593038088131983,0.1567,2.1430262102514273,0.17015250181623165,0.8404827740621542,6.8284101486206055,configs/FGMRES.json
18,CIFAR10-H,10000,PCA,40,prob_label,0.99,100,20,0.2833064137196807,0.1848,2.0601201952177384,0.16953598195059608,0.8370079407443838,5.688090562820435,configs/FGMRES.json
19,CIFAR10-H,10000,PCA,30,prob_label,0.99,100,20,0.28387393568804925,0.173,2.0740557693446635,0.16988039490598983,0.8394568275563291,4.692990064620972,configs/FGMRES.json
20,CIFAR10-H,10000,PCA,20,prob_label,0.99,100,20,0.2846717058240572,0.1377,2.0867307668506543,0.16968719587171904,0.8389461836685032,3.382084846496582,configs/FGMRES.json
21,CIFAR10-H,10000,PCA,15,prob_label,0.99,100,20,0.2840203441756509,0.1722,2.088026887329091,0.1697204722562084,0.8384250853317473,2.653052806854248,configs/FGMRES.json
22,CIFAR10-H,10000,PCA,10,prob_label,0.99,100,20,0.28427899918805877,0.1937,2.094926075337921,0.17004298106124743,0.8388131197272771,2.1719563007354736,configs/FGMRES.json
23,CIFAR10-H,10000,PCA,7,prob_label,0.99,100,20,0.2836676789992142,0.1784,2.0673025491771253,0.1689640922628341,0.8342684383100095,1.3479070663452148,configs/FGMRES.json
24,CIFAR10-H,10000,PCA,5,prob_label,0.99,100,20,0.2836363296941907,0.1824,2.0836207787926138,0.16916551957519652,0.8349136832264882,1.2104010581970215,configs/FGMRES.json
25,CIFAR10-H,10000,PCA,3,prob_label,0.99,100,20,0.28601568745267275,0.1728,2.11379570858462,0.16732409988858396,0.8248213584881654,0.7258102893829346,configs/FGMRES.json
26,CIFAR10-H,10000,PCA,2,prob_label,0.99,100,20,0.30104835881106384,0.166,2.6281679966162743,0.16647522446330348,0.8157265914053118,0.6608774662017822,configs/FGMRES.json
27,CIFAR10-H,10000,ISOMAP,512,prob_label,0.99,100,20,0.28262222746630583,0.2042,2.0433181325090577,0.16877782439463987,0.833869607503939,71.73207449913025,configs/FGMRES.json
28,CIFAR10-H,10000,ISOMAP,256,prob_label,0.99,100,20,0.28427709759292014,0.1914,2.096838089413709,0.1687748557044478,0.8328234993722635,34.5111768245697,configs/FGMRES.json
29,CIFAR10-H,10000,ISOMAP,100,prob_label,0.99,100,20,0.28304443806518464,0.2017,2.0593920604099956,0.16835792171815084,0.830823342070927,12.64850926399231,configs/FGMRES.json
30,CIFAR10-H,10000,ISOMAP,50,prob_label,0.99,100,20,0.28259965748308546,0.2055,2.0512589869932207,0.16778562854876275,0.8285159252648804,6.795307159423828,configs/FGMRES.json
31,CIFAR10-H,10000,ISOMAP,40,prob_label,0.99,100,20,0.2827691278945796,0.1866,2.038378761866038,0.1672548958898557,0.826341999648243,5.763773679733276,configs/FGMRES.json
32,CIFAR10-H,10000,ISOMAP,30,prob_label,0.99,100,20,0.28239115724652464,0.2024,2.050091385466338,0.1663925067186578,0.8217900803235976,4.640886545181274,configs/FGMRES.json
33,CIFAR10-H,10000,ISOMAP,20,prob_label,0.99,100,20,0.28211395575994336,0.2082,2.0441137471300155,0.16576624023721964,0.8188914994162212,3.4970107078552246,configs/FGMRES.json
34,CIFAR10-H,10000,ISOMAP,15,prob_label,0.99,100,20,0.28336731998931414,0.2033,2.069128398789981,0.16702599454214348,0.8235078174420385,2.5660321712493896,configs/FGMRES.json
35,CIFAR10-H,10000,ISOMAP,10,prob_label,0.99,100,20,0.2861985176207356,0.1952,2.19014980811335,0.1654215391055668,0.8143950488615367,1.67850923538208,configs/FGMRES.json
36,CIFAR10-H,10000,ISOMAP,7,prob_label,0.99,100,20,0.28373693666993155,0.1993,2.0538100217749253,0.16356168430682125,0.8074611902832254,1.42423677444458,configs/FGMRES.json
37,CIFAR10-H,10000,ISOMAP,5,prob_label,0.99,100,20,0.284906900866461,0.1908,2.098745345834915,0.16617309548716203,0.8196983627117085,1.051048994064331,configs/FGMRES.json
38,CIFAR10-H,10000,ISOMAP,3,prob_label,0.99,100,20,0.28140908292195915,0.2355,2.0179109760355534,0.16360404993105718,0.8070634317063505,0.857694149017334,configs/FGMRES.json
39,CIFAR10-H,10000,ISOMAP,2,prob_label,0.99,100,20,0.2917927545171552,0.2009,2.376231700425593,0.16239676829792343,0.7974031425362497,0.7398157119750977,configs/FGMRES.json
40,CIFAR10-H,10000,CLIP+UMAP,512,prob_label,0.99,100,20,0.1194484570478204,0.8783,0.5272952055397916,0.037917292016150836,0.1817167105722675,5.5559680461883545,configs/FGMRES.json
41,CIFAR10-H,10000,CLIP+UMAP,256,prob_label,0.99,100,20,0.12476314080233675,0.8857,0.6028219139080223,0.04506955492908323,0.21892437247566732,2.960097312927246,configs/FGMRES.json
42,CIFAR10-H,10000,CLIP+UMAP,100,prob_label,0.99,100,20,0.12042046147110744,0.8874,0.5148854010424826,0.03994307705394429,0.19285787711358782,1.4327144622802734,configs/FGMRES.json
43,CIFAR10-H,10000,CLIP+UMAP,50,prob_label,0.99,100,20,0.12107070356980543,0.8784,0.5285229663623427,0.0419692500505139,0.20192565714030083,0.9863946437835693,configs/FGMRES.json
44,CIFAR10-H,10000,CLIP+UMAP,40,prob_label,0.99,100,20,0.1245538130517249,0.8673,0.6758942747872574,0.03992311847645502,0.19165015800786522,0.9393188953399658,configs/FGMRES.json
45,CIFAR10-H,10000,CLIP+UMAP,30,prob_label,0.99,100,20,0.12367394228845634,0.8809,0.6184459552476701,0.04245687020783103,0.20397557680404826,0.8840517997741699,configs/FGMRES.json
46,CIFAR10-H,10000,CLIP+UMAP,20,prob_label,0.99,100,20,0.12087595073155195,0.88,0.6458797381198301,0.03816874712262576,0.1838488120189971,0.7945725917816162,configs/FGMRES.json
47,CIFAR10-H,10000,CLIP+UMAP,15,prob_label,0.99,100,20,0.13115442704215258,0.8776,0.6974928950210696,0.042224772807267934,0.20439459385138403,0.7209100723266602,configs/FGMRES.json
