,dataset,zero_shot_accuracy,RMSE,MAE,KL,TV
0,CIFAR10,0.89036,0.12703286301549613,0.042580277151098266,0.3827746454816485,0.2103972640914624
1,CIFAR10-H,0.8924,0.11049021174325462,0.03745064593908161,0.30386687618178676,0.1814537137038102
2,ANIMALS10,0.9778448374651438,0.06616891783957429,0.012460808539259401,inf,0.06104082545156292
3,EMNIST,0.431675,0.28860711645186177,0.1718339400599725,2.0423503568168395,0.8583677571167373
4,TinyImageNet,0.57129,0.043685618019048994,0.0050674242089981236,inf,0.43333833383495857
5,MTSD,0.19348880941587335,0.16401723061371026,0.11892125847628247,0.5929834863657036,0.3376670890664712
