,dataset,prob_labels,n_data,dim_reduction_technique,dimension,metric,k,n_samples,Accuracy,RMSE
47,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,2,100000,0.92744,0.08615634782445085
48,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,2,100000,0.92718,0.08634927267759453
49,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,2,100000,0.92876,0.08558786423262128
50,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,3,10,0.28722,0.2796832774320638
51,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,3,10,0.2876,0.2868832409440413
52,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,3,10,0.27434,0.31108731922849653
53,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,3,10,0.29192,0.2975923760422486
54,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,3,10,0.34854,0.28095322783197
55,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,3,25,0.49152,0.20609340591902386
56,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,3,25,0.70116,0.17862127653677723
57,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,3,25,0.63976,0.2219752783178218
58,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,3,25,0.50596,0.2483201839430545
59,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,3,25,0.61914,0.2223759325415969
60,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,3,50,0.85214,0.1379969644255456
61,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,3,50,0.88506,0.12617958026376044
62,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,3,50,0.77668,0.15998911455098822
63,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,3,50,0.87488,0.13708224021341367
64,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,3,50,0.8126,0.15152810346549955
65,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,3,100,0.87582,0.1315449484004555
66,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,3,100,0.87436,0.13643966635172927
