,dataset,prob_labels,n_data,dim_reduction_technique,dimension,metric,k,n_samples,Accuracy,RMSE
228,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,10,500,0.89346,0.11908563357227635
229,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,10,500,0.89738,0.1176316911736758
230,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,10,1000,0.8999,0.11478421451944935
231,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,10,1000,0.90112,0.1154980771753394
232,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,10,1000,0.9013,0.11589946672359439
233,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,10,1000,0.90078,0.11514089321804384
234,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,10,1000,0.90044,0.11627294811594244
235,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,10,5000,0.90678,0.11129408873348112
236,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,10,5000,0.90604,0.1107744796202472
237,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,10,5000,0.9059,0.11101788314381325
238,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,10,5000,0.9073,0.11132308033108218
239,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,10,5000,0.90726,0.11126190561333489
240,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,10,10000,0.90686,0.10896167997200115
241,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,10,10000,0.90708,0.10937718636203383
242,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,10,10000,0.90754,0.10892847421692062
243,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,10,10000,0.90668,0.10891177083025258
244,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,10,10000,0.90824,0.1089774534859765
245,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,10,100000,0.91598,0.09948323252251626
246,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,10,100000,0.91588,0.0991064623760037
247,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,10,100000,0.9164,0.099077900706884
248,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,10,100000,0.91576,0.09929188536591815
249,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,10,100000,0.91572,0.09912709169404046
250,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,15,10,,
251,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,15,10,,
252,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,15,10,,
253,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,15,10,,
254,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,15,10,,
255,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,15,25,0.19558,0.2883098873445764
256,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,15,25,0.19338,0.2879266617923151
257,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,15,25,0.1985,0.2923052305711028
258,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,15,25,0.20006,0.2925190610375764
259,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,15,25,0.19134,0.287895646428981
260,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,15,50,0.38942,0.2592581340430061
261,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,15,50,0.34762,0.25599723834028876
262,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,15,50,0.36434,0.2596219701183237
263,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,15,50,0.38152,0.2540860800177619
264,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,15,50,0.40586,0.26050662009115466
265,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,15,100,0.80952,0.1829357862086812
266,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,15,100,0.88486,0.17339412382039868
267,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,15,100,0.8398,0.18736705218887773
268,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,15,100,0.71756,0.19132483300691877
269,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,15,100,0.74028,0.183206245023091
270,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,15,250,0.89282,0.12093527465822504
271,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,15,250,0.88958,0.1198827895645292
272,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,15,250,0.89042,0.11882625181623922
273,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,15,250,0.88922,0.11959400268551187
274,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,15,250,0.89578,0.11743433908164672
275,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,15,500,0.89456,0.1177153362432368
276,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,15,500,0.89494,0.11677144733785667
277,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,15,500,0.8958,0.11773214407061294
278,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,15,500,0.89566,0.11586456724339222
279,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,15,500,0.89944,0.11569519753473953
280,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,15,1000,0.90064,0.11478342671422999
281,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,15,1000,0.90048,0.11467236171131645
282,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,15,1000,0.90178,0.11453396961361402
283,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,15,1000,0.90148,0.11395020108172746
284,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,15,1000,0.90032,0.11340646730806625
285,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,15,5000,0.90556,0.11051444758630913
286,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,15,5000,0.90548,0.11001001959710802
287,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,15,5000,0.90404,0.11095405781073309
288,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,15,5000,0.90644,0.11023188438845348
289,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,15,5000,0.90478,0.11033287169023998
290,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,15,10000,0.90772,0.10810634229333109
291,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,15,10000,0.90808,0.10803438580706226
292,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,15,10000,0.90706,0.10831084629087295
293,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,15,10000,0.90744,0.10812102839076262
294,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,15,10000,0.90808,0.1084111579879126
295,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,15,100000,0.91492,0.10078891110179815
296,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,15,100000,0.9148,0.1006870506568756
297,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,15,100000,0.9151,0.10052083624562377
298,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,15,100000,0.91538,0.10060823472443592
299,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,15,100000,0.91422,0.10082991317802754
300,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,20,10,,
301,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,20,10,,
302,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,20,10,,
303,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,20,10,,
304,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,20,10,,
305,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,20,25,0.2814,0.29336517373132087
306,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,20,25,0.1,0.2924187876486986
307,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,20,25,0.15986,0.3025988887434119
308,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,20,25,0.19822,0.28952951271671407
309,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,20,25,0.20034,0.2963439345859227
310,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,20,50,0.28706,0.26698026133299124
311,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,20,50,0.4551,0.2693428154068592
312,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,20,50,0.21694,0.269029905270505
313,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,20,50,0.38084,0.26575401557465056
314,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,20,50,0.29358,0.27599596597976306
315,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,20,100,0.42038,0.22853897678092544
316,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,20,100,0.69264,0.21563480311397534
317,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,20,100,0.61062,0.22049851142077928
318,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,20,100,0.51252,0.22625980085815384
319,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,20,100,0.61006,0.22266902424931972
320,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,20,250,0.89526,0.11856995868663092
321,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,20,250,0.89122,0.12152046003830574
322,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,20,250,0.89474,0.11817912768398633
323,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,20,250,0.89058,0.12098373653840652
324,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,20,250,0.89122,0.12058065481726798
325,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,20,500,0.89188,0.11631541749280712
326,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,20,500,0.89512,0.11637068927614432
327,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,20,500,0.89766,0.11563489378511509
328,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,20,500,0.89714,0.11645417730374866
329,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,20,500,0.8983,0.11495423446485034
330,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,20,1000,0.8983,0.11483000639974747
331,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,20,1000,0.9002,0.11411319350372635
332,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,20,1000,0.8999,0.11370667488951722
333,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,20,1000,0.89944,0.11457634458953773
334,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,20,1000,0.89576,0.11482748460250788
335,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,20,5000,0.90496,0.11027812913010071
336,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,20,5000,0.90394,0.11031947640068487
337,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,20,5000,0.90392,0.11074304862689777
338,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,20,5000,0.90486,0.10978927322338465
339,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,20,5000,0.90642,0.10980441442737736
340,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,20,10000,0.90724,0.10825966992091318
341,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,20,10000,0.90614,0.1081445468546968
342,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,20,10000,0.90658,0.10851446680129306
343,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,20,10000,0.90602,0.10853426869207165
344,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,20,10000,0.90656,0.10839899220753155
345,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,20,100000,0.91388,0.10171101126777224
346,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,20,100000,0.91372,0.10154294070967877
347,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,20,100000,0.9133,0.10173081041297247
348,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,20,100000,0.91374,0.10157703708139039
349,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,20,100000,0.91378,0.10163716057946551
350,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,30,10,,
351,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,30,10,,
352,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,30,10,,
353,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,30,10,,
354,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,30,10,,
355,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,30,25,,
356,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,30,25,,
357,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,30,25,,
358,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,30,25,,
359,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,30,25,,
360,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,30,50,0.20118,0.2858113431885481
361,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,30,50,0.19998,0.28560508084611846
362,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,30,50,0.19412,0.2879758066293846
363,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,30,50,0.20006,0.2856433287266161
364,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,30,50,0.15364,0.28754960136315605
365,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,30,100,0.47492,0.24747914428816037
366,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,30,100,0.4302,0.2509680772942742
367,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,30,100,0.48674,0.249308956264094
368,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,30,100,0.49628,0.24510100218747483
369,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,30,100,0.38714,0.25080620873847614
370,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,30,250,0.88696,0.15677195335290706
371,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,30,250,0.88702,0.1420437995066633
372,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,30,250,0.88196,0.15105258783914244
373,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,30,250,0.87456,0.1561362905496777
374,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,30,250,0.78858,0.16649058672547135
375,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,30,500,0.89358,0.11629398591197856
376,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,30,500,0.89238,0.11667105280432492
377,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,30,500,0.89156,0.11875134174456732
378,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,30,500,0.89056,0.11852375884179926
379,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,30,500,0.88654,0.1193558003727434
380,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,30,1000,0.89828,0.11445493318074171
381,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,30,1000,0.8996,0.11305696108511505
382,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,30,1000,0.89896,0.11345193538001597
383,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,30,1000,0.89896,0.11406446082201671
384,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,30,1000,0.89468,0.11482810248435069
385,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,30,5000,0.9037,0.10998368117679387
386,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,30,5000,0.90424,0.1102022355976476
387,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,30,5000,0.90386,0.10975659860770659
388,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,30,5000,0.90304,0.11096380220790172
389,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,30,5000,0.90416,0.11033284276435333
390,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,30,10000,0.90696,0.10800521793066456
391,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,30,10000,0.90574,0.10857272220682088
392,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,30,10000,0.90698,0.10834001849879471
393,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,30,10000,0.9068,0.10858084869576352
394,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,30,10000,0.90552,0.10866717372002052
395,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,30,100000,0.91236,0.1027178930539528
396,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,30,100000,0.91244,0.10262079594071812
397,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,30,100000,0.91242,0.1028063001210702
398,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,30,100000,0.91298,0.1027832893338223
399,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,30,100000,0.91188,0.10279715378554913
400,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,50,10,,
401,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,50,10,,
402,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,50,10,,
403,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,50,10,,
404,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,50,10,,
405,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,50,25,,
406,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,50,25,,
407,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,50,25,,
408,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,50,25,,
409,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,50,25,,
410,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,50,50,0.1002,0.2957359852031877
411,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,50,50,0.1002,0.29967215636222333
412,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,50,50,0.1002,0.29517685104680524
413,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,50,50,0.1,0.29718906920205074
414,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,50,50,0.1015,0.2956226806887143
415,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,50,100,0.20364,0.2763545145826406
416,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,50,100,0.20388,0.2779380577356127
417,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,50,100,0.10318,0.2792440693163742
418,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,50,100,0.18594,0.2776411458299851
419,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,50,100,0.19136,0.280955983755317
420,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,50,250,0.80452,0.21237009251356015
421,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,50,250,0.54302,0.22097471715415523
422,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,50,250,0.59618,0.2178961504876961
423,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,50,250,0.49866,0.22260854434093807
424,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,50,250,0.59878,0.22454339321212818
425,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,50,500,0.88884,0.1326274353121748
426,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,50,500,0.8896,0.1224624705165521
427,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,50,500,0.89142,0.1245309619799539
428,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,50,500,0.88976,0.12468861057300296
429,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,50,500,0.88638,0.12701357069722893
430,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,50,1000,0.8933,0.11560229982788597
431,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,50,1000,0.898,0.11516613584433762
432,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,50,1000,0.89398,0.11597718846178313
433,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,50,1000,0.89482,0.11463406450881783
434,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,50,1000,0.8926,0.11544995361635499
435,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,50,5000,0.90268,0.11030119144567647
436,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,50,5000,0.90288,0.11038398230889142
437,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,50,5000,0.90302,0.11049180750642804
438,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,50,5000,0.90192,0.11141516229047113
439,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,50,5000,0.90244,0.11100052025875078
440,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,50,10000,0.9052,0.10864785376323152
441,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,50,10000,0.90394,0.1092936734415092
442,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,50,10000,0.90454,0.10916309845580718
443,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,50,10000,0.9038,0.10910097584309267
444,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,50,10000,0.90486,0.1089227594665109
445,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,50,100000,0.91092,0.10409671056200479
446,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,50,100000,0.91028,0.10410068190127994
447,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,50,100000,0.90944,0.10412870918528198
448,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,50,100000,0.91098,0.10406993632439583
449,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,50,100000,0.91062,0.10403386764431097
450,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,100,10,,
451,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,100,10,,
452,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,100,10,,
453,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,100,10,,
454,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,100,10,,
455,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,100,25,,
456,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,100,25,,
457,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,100,25,,
458,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,100,25,,
459,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,100,25,,
460,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,100,50,,
461,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,100,50,,
462,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,100,50,,
463,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,100,50,,
464,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,100,50,,
465,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,100,100,,
466,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,100,100,0.1002,0.29552739856046417
467,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,100,100,0.1015,0.29615655929623985
468,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,100,100,,
469,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,100,100,0.09952,0.2967042564455195
470,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,100,250,0.19774,0.266112318093497
471,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,100,250,0.3513,0.266481729150159
472,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,100,250,0.3175,0.2643995508526136
473,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,100,250,0.54266,0.2648280117129136
474,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,100,250,0.30878,0.2655594960955104
475,CIFAR10,prob_label_effnetb0,50000,CLIP+UMAP,20,euclidean,100,500,0.73944,0.21516975472480948
